"Site","Month","Species","total","nsurveys","freq"
"Arboretum",1,"American Crow",169,70,2.41428571428571
"Arboretum",1,"American Goldfinch",10,70,0.142857142857143
"Arboretum",1,"American Robin",124,70,1.77142857142857
"Arboretum",1,"Anna's Hummingbird",59,70,0.842857142857143
"Arboretum",1,"Bewick's Wren",57,70,0.814285714285714
"Arboretum",1,"Black-capped Chickadee",114,70,1.62857142857143
"Arboretum",1,"Blue Jay",1,70,0.0142857142857143
"Arboretum",1,"Brown Creeper",15,70,0.214285714285714
"Arboretum",1,"Bushtit",56,70,0.8
"Arboretum",1,"Chestnut-backed Chickadee",16,70,0.228571428571429
"Arboretum",1,"Dark-eyed Junco",44,70,0.628571428571429
"Arboretum",1,"Double-crested Cormorant",1,70,0.0142857142857143
"Arboretum",1,"Gadwall",10,70,0.142857142857143
"Arboretum",1,"Glaucous-winged Gull",35,70,0.5
"Arboretum",1,"Golden-crowned Kinglet",352,70,5.02857142857143
"Arboretum",1,"Hermit Thrush",1,70,0.0142857142857143
"Arboretum",1,"House Finch",1,70,0.0142857142857143
"Arboretum",1,"Hutton's Vireo",1,70,0.0142857142857143
"Arboretum",1,"Mallard",6,70,0.0857142857142857
"Arboretum",1,"Northern Flicker",23,70,0.328571428571429
"Arboretum",1,"Pacific Wren",21,70,0.3
"Arboretum",1,"Pine Siskin",254,70,3.62857142857143
"Arboretum",1,"Red-breasted Nuthatch",34,70,0.485714285714286
"Arboretum",1,"Red-tailed Hawk",2,70,0.0285714285714286
"Arboretum",1,"Rock Pigeon",4,70,0.0571428571428571
"Arboretum",1,"Ruby-crowned Kinglet",50,70,0.714285714285714
"Arboretum",1,"Song Sparrow",46,70,0.657142857142857
"Arboretum",1,"Spotted Towhee",8,70,0.114285714285714
"Arboretum",1,"Steller's Jay",1,70,0.0142857142857143
"Arboretum",1,"Townsend's Warbler",17,70,0.242857142857143
"Arboretum",1,"Varied Thrush",11,70,0.157142857142857
"Arboretum",2,"American Crow",223,70,3.18571428571429
"Arboretum",2,"American Robin",259,70,3.7
"Arboretum",2,"Anna's Hummingbird",61,70,0.871428571428571
"Arboretum",2,"Bald Eagle",2,70,0.0285714285714286
"Arboretum",2,"Band-tailed Pigeon",3,70,0.0428571428571429
"Arboretum",2,"Belted Kingfisher",1,70,0.0142857142857143
"Arboretum",2,"Bewick's Wren",53,70,0.757142857142857
"Arboretum",2,"Black-capped Chickadee",118,70,1.68571428571429
"Arboretum",2,"Brown Creeper",11,70,0.157142857142857
"Arboretum",2,"Bufflehead",1,70,0.0142857142857143
"Arboretum",2,"Chestnut-backed Chickadee",69,70,0.985714285714286
"Arboretum",2,"Cooper's Hawk",2,70,0.0285714285714286
"Arboretum",2,"Dark-eyed Junco",48,70,0.685714285714286
"Arboretum",2,"Downy Woodpecker",1,70,0.0142857142857143
"Arboretum",2,"European Starling",11,70,0.157142857142857
"Arboretum",2,"Fox Sparrow",3,70,0.0428571428571429
"Arboretum",2,"Gadwall",14,70,0.2
"Arboretum",2,"Glaucous-winged Gull",16,70,0.228571428571429
"Arboretum",2,"Golden-crowned Kinglet",216,70,3.08571428571429
"Arboretum",2,"House Finch",22,70,0.314285714285714
"Arboretum",2,"Hutton's Vireo",9,70,0.128571428571429
"Arboretum",2,"Mallard",12,70,0.171428571428571
"Arboretum",2,"Northern Flicker",14,70,0.2
"Arboretum",2,"Pacific Wren",23,70,0.328571428571429
"Arboretum",2,"Pine Siskin",197,70,2.81428571428571
"Arboretum",2,"Red Crossbill",10,70,0.142857142857143
"Arboretum",2,"Red-breasted Nuthatch",53,70,0.757142857142857
"Arboretum",2,"Red-breasted Sapsucker",1,70,0.0142857142857143
"Arboretum",2,"Red-tailed Hawk",1,70,0.0142857142857143
"Arboretum",2,"Ruby-crowned Kinglet",27,70,0.385714285714286
"Arboretum",2,"Song Sparrow",78,70,1.11428571428571
"Arboretum",2,"Spotted Towhee",35,70,0.5
"Arboretum",2,"Steller's Jay",20,70,0.285714285714286
"Arboretum",2,"Townsend's Warbler",4,70,0.0571428571428571
"Arboretum",2,"Varied Thrush",13,70,0.185714285714286
"Arboretum",2,"Yellow-rumped Warbler",3,70,0.0428571428571429
"Arboretum",3,"American Crow",313,70,4.47142857142857
"Arboretum",3,"American Robin",213,70,3.04285714285714
"Arboretum",3,"Anna's Hummingbird",53,70,0.757142857142857
"Arboretum",3,"Band-tailed Pigeon",8,70,0.114285714285714
"Arboretum",3,"Bewick's Wren",68,70,0.971428571428571
"Arboretum",3,"Black-capped Chickadee",118,70,1.68571428571429
"Arboretum",3,"Brown Creeper",10,70,0.142857142857143
"Arboretum",3,"Bushtit",16,70,0.228571428571429
"Arboretum",3,"Cedar Waxwing",3,70,0.0428571428571429
"Arboretum",3,"Chestnut-backed Chickadee",22,70,0.314285714285714
"Arboretum",3,"Cooper's Hawk",4,70,0.0571428571428571
"Arboretum",3,"Dark-eyed Junco",64,70,0.914285714285714
"Arboretum",3,"Double-crested Cormorant",2,70,0.0285714285714286
"Arboretum",3,"Downy Woodpecker",4,70,0.0571428571428571
"Arboretum",3,"European Starling",4,70,0.0571428571428571
"Arboretum",3,"Fox Sparrow",2,70,0.0285714285714286
"Arboretum",3,"Gadwall",37,70,0.528571428571429
"Arboretum",3,"Glaucous-winged Gull",5,70,0.0714285714285714
"Arboretum",3,"Golden-crowned Kinglet",182,70,2.6
"Arboretum",3,"Hermit Thrush",1,70,0.0142857142857143
"Arboretum",3,"House Finch",35,70,0.5
"Arboretum",3,"Hutton's Vireo",8,70,0.114285714285714
"Arboretum",3,"Mallard",28,70,0.4
"Arboretum",3,"Merlin",1,70,0.0142857142857143
"Arboretum",3,"Northern Flicker",29,70,0.414285714285714
"Arboretum",3,"Pacific Wren",23,70,0.328571428571429
"Arboretum",3,"Pine Siskin",345,70,4.92857142857143
